AdminPermissions,AllocatorPermissions,AllowedPathPrefix,AllowedProperties,ApproversOnCreate,ApproversOnDataDelete,ApproversOnDelete,ApproversOnExtend,ApproversOnResize,AreasNum,AreasPrivateSize,AreasSharedSize,AreasSize,AreasSizeGB,AreasSizeTB,AreasUsage,AreasUsageGB,AreasUsageTB,AvailableSize,AvailableSizeGB,AvailableSizePerSharedPool,AvailableSizePerSharedPoolGB,AvailableSizePerSharedPoolTB,AvailableSizeTB,BusinessGroup,CachePermissions,CacheSize,Cell,DefaultGrace,DefaultPathPrefix,DefaultProperties,DiskSelectionStrategy,DiskSelectionStrategyCache,FSGroup,FSPermissions,FileSystemGroup,FileSystemPermissions,GlobalPathPrefix,LocalPathPrefix,MaxActiveAreas,MaxActiveSize,MaxCacheSize,MaxDisabledPeriod,MaxDuration,MaxGrace,MaxSize,MemberResources,MemberResourcesCache,Permissions,Policies,Project,QSlot,ReplicatorPermissions,RequiredProperties,SharedPools,Status,StodFSPermissions,TotalPrivateSize,TotalSharedSize,TotalSize,TotalSizeGB,TotalSizeTB,Type,User,ViewPermissions
iszuca jdkarpin,,/nfs/igk/disks /nfs/igk/proj,,,,,,,2,276480,0,276480,270.0,0.264,104662,102.209,0.1,593577,579.665,0,0.0,0.0,0.566,CCG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol3 gkefs01a.igk.intel.com:vol4 ,,rkrzyszt,,CCG-releases,,,,,Compliant,,6495109,0,6495109,6342.88,6.194,Project,,
,,,,,,,,,2,30720,0,30720,30.0,0.029,0,0.0,0.0,21943,21.429,0,0.0,0.0,0.021,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gkefs01a.igk.intel.com:vol7 ,,,,Manageability,,,,,Compliant,,3247554,0,3247554,3171.439,3.097,User,others,
,,/nfs/igk/disks,,,,,,,2,30720,0,30720,30.0,0.029,4580,4.473,0.004,21943,21.429,0,0.0,0.0,0.021,CCG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,20480,gkefs01a.igk.intel.com:vol7 ,,mlzakida,,Manageability,,,,,Compliant,,3247554,0,3247554,3171.439,3.097,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,,NodeManager,,,,,Compliant,,0,0,0,0.0,0.0,User,others,
,,/nfs/igk/disks,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,,NodeManager,,,,,Compliant,,0,0,0,0.0,0.0,Project,,
,,,,,,,,,1,10240,0,10240,10.0,0.01,0,0.0,0.0,21943,21.429,0,0.0,0.0,0.021,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gkefs01a.igk.intel.com:vol7 ,,,,Storage,,,,,Compliant,,3247554,0,3247554,3171.439,3.097,User,others,
,,/nfs/igk/disks,,,,,,,1,10240,0,10240,10.0,0.01,0,0.0,0.0,21943,21.429,0,0.0,0.0,0.021,CCG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,10240,gkefs01a.igk.intel.com:vol7 ,,mswirydc,,Storage,,,,,Compliant,,3247554,0,3247554,3171.439,3.097,Project,,
,,,,,,,,,1,51200,0,51200,50.0,0.049,0,0.0,0.0,2765915,2701.089,0,0.0,0.0,2.638,CCG,,51200,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,irnap08a:vol2 ,irnap05a/aggr1 ,,,all-ccg,,,,,Compliant,,18448484,0,18448484,18016.098,17.594,User,others,
cjodwyer,,,,,,,,,1,51200,0,51200,50.0,0.049,0,0.0,0.0,2765915,2701.089,0,0.0,0.0,2.638,CCG,,51200,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,irnap08a:vol2 ,irnap05a/aggr1 ,mjphelps,,all-ccg,,,,,Compliant,,18448484,0,18448484,18016.098,17.594,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,,amttester,,,,,Compliant,,0,0,0,0.0,0.0,User,others,
amaczuga jdkarpin,,/nfs/igk/disks,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,mluczyck,,amttester,,,,,Compliant,,0,0,0,0.0,0.0,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,,aon,,,,,Compliant,,0,0,0,0.0,0.0,User,others,
wossowic amaczuga jdkarpin,,/nfs/igk/disks,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,mswirydc,,aon,,,,,Compliant,,0,0,0,0.0,0.0,Project,,
,,,,,,,,,1,51200,0,51200,50.0,0.049,0,0.0,0.0,66791,65.226,0,0.0,0.0,0.064,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol3 ,,,,bios,,,,,Compliant,,3247555,0,3247555,3171.44,3.097,User,others,
amaczuga jdkarpin,,/nfs/igk/disks /nfs/igk/proj,,,,,,,1,51200,0,51200,50.0,0.049,0,0.0,0.0,66791,65.226,0,0.0,0.0,0.064,CCG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read execute all:none  sticky,,owner:read write execute group:read execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol3 ,,lbachora jpeszek,,bios,,,,,Compliant,,3247555,0,3247555,3171.44,3.097,Project,,
,,,,,,,,,1,30720,0,30720,30.0,0.029,0,0.0,0.0,1243914,1214.76,0,0.0,0.0,1.186,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gknap01a:* ,,,,cougarpoint,,,,,Compliant,,17090305,0,17090305,16689.751,16.299,User,others,
amaczuga jdkarpin,,/nfs/igk/disks,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,1,30720,0,30720,30.0,0.029,26335,25.718,0.025,1243914,1214.76,0,0.0,0.0,1.186,CCG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gknap01a:* ,,bmatwiej,,cougarpoint,,,,,Compliant,,17090305,0,17090305,16689.751,16.299,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,,dmraid,,,,,Compliant,,0,0,0,0.0,0.0,User,others,
amaczuga jdkarpin,,/nfs/igk/disks,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,kkucmier,,dmraid,,,,,Compliant,,0,0,0,0.0,0.0,Project,,
,,,,,,,,,1,87040,0,87040,85.0,0.083,0,0.0,0.0,871874,851.439,0,0.0,0.0,0.831,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol5 ,,,,eps,,,,,Compliant,,3247554,0,3247554,3171.439,3.097,User,others,
amaczuga jdkarpin,,/nfs/igk/disks /nfs/igk/proj,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,1,87040,0,87040,85.0,0.083,51793,50.579,0.049,871874,851.439,0,0.0,0.0,0.831,CCG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol5 ,,mneufeld mjemiol tszmelcz,,eps,,,,,Compliant,,3247554,0,3247554,3171.439,3.097,Project,,
,,,,,,,,,1,102400,0,102400,100.0,0.098,0,0.0,0.0,526786,514.439,0,0.0,0.0,0.502,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol4 ,,,,ftf,,,,,Compliant,,3247554,0,3247554,3171.439,3.097,User,others,
amaczuga jdkarpin,,/nfs/igk/disks /nfs/igk/proj,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,1,102400,0,102400,100.0,0.098,75606,73.834,0.072,526786,514.439,0,0.0,0.0,0.502,CCG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol4 ,,rkrzyszt,,ftf,,,,,Compliant,,3247554,0,3247554,3171.439,3.097,Project,,
,,,,,,,,,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,,fw_kits,,,,,Compliant,,0,0,0,0.0,0.0,User,others,
,,/nfs/igk/disks,,jdkarpin iszuca,,jdkarpin iszuca,jdkarpin iszuca,jdkarpin iszuca,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,CCG,,0,,unlimited,/nfs/igk/disks,,SpareRelative,SpareRelative,,owner:read write execute group:read write execute all:none  sticky,,owner:read write execute group:read write execute all:none  sticky,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,1024000,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* ,,,,fw_kits,,,,,Compliant,,0,0,0,0.0,0.0,Project,,
,,,,,,,,,1,204800,0,204800,200.0,0.195,0,0.0,0.0,526786,514.439,0,0.0,0.0,0.502,CCG,,0,,unlimited,,,SpareRelative,SpareRelative,,owner:read write execute group:read execute setid all:none ,,owner:read write execute group:read execute setid all:none ,,,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,unlimited,gksfiler01:* gksfiler02:* gksfiler03:* gksfiler04:* gkefs01a.igk.intel.com:vol4 ,,,,hdaudio,,,,,Compliant,,3247554,0,3247554,3171.439,3.097,User,others,
